Global Volcanism Program - Volcanoes of the World 5.2.1,,,List of Volcanoes of the World for VAAC Use,,Downloaded on 16 Jul 2024 at 09:13 AM,,,,,,,,,,
VolcanoNumber,VolcanoNumber_Old,VolcanoName,State,VolcanicSubregion,SummitElevM,LatitudeNS,LatitudeDegrees,LatitudeMinutes,LatitudeSeconds,LongitudeEW,LongitudeDegrees,LongitudeMinutes,LongitudeSeconds,LatitudeDecimal,LongitudeDecimal
210010,0100-01-,WEST EIFEL VOLCANIC FIELD,Germany,Western Europe,600,N,50,10,0,E,6,51,0,50.17,6.85
210020,0100-02-,CHAINE DES PUYS,France,Western Europe,1464,N,45,47,10,E,2,58,50,45.786,2.981
210030,0100-03-,OLOT VOLCANIC FIELD,Spain,Western Europe,893,N,42,10,0,E,2,32,0,42.17,2.53
210040,0100-04-,CALATRAVA VOLCANIC FIELD,Spain,Western Europe,1117,N,38,52,0,W,4,1,0,38.87,-4.02
211004,0101-004,COLLI ALBANI,Italy,Italy,949,N,41,45,25,E,12,43,30,41.7569,12.7251
211010,0101-01=,CAMPI FLEGREI,Italy,Italy,458,N,40,49,38,E,14,8,20,40.827,14.139
211020,0101-02=,VESUVIUS,Italy,Italy,1281,N,40,49,17,E,14,25,34,40.821,14.426
211030,0101-03=,ISCHIA,Italy,Italy,789,N,40,44,0,E,13,53,51,40.73,13.897
211031,0101-031,PALINURO,Italy,Italy,-70,N,39,29,0,E,14,50,0,39.48,14.83
211040,0101-04=,STROMBOLI,Italy,Italy,924,N,38,47,22,E,15,12,47,38.789,15.213
211041,0101-041,PANAREA,Italy,Italy,399,N,38,38,17,E,15,3,49,38.638,15.064
211042,0101-042,LIPARI,Italy,Italy,590,N,38,29,23,E,14,55,57,38.49,14.933
211050,0101-05=,VULCANO,Italy,Italy,500,N,38,24,13,E,14,57,42,38.404,14.962
211060,0101-06=,ETNA,Italy,Italy,3357,N,37,44,53,E,14,59,58,37.748,14.999
211070,0101-07=,CAMPI FLEGREI DEL MAR DI SICILIA,Italy,Italy,-8,N,37,6,0,E,12,42,0,37.1,12.7
211071,0101-071,PANTELLERIA,Italy,Italy,836,N,36,46,0,E,12,1,0,36.77,12.02
211080,,MARSILI,Italy,Italy,-779,N,39,17,1,E,14,23,57,39.284,14.399
